STAT_DATE,XMMC,year,month,day
2015-08-22,(B)冬瓜(半),2015,8,22
2015-08-23,(B)冬瓜(半),2015,8,23
2015-08-24,(B)冬瓜(半),2015,8,24
2015-08-25,(B)冬瓜(半),2015,8,25
2015-08-26,(B)冬瓜(半),2015,8,26
2015-08-27,(B)冬瓜(半),2015,8,27
2015-08-28,(B)冬瓜(半),2015,8,28
2015-08-29,(B)冬瓜(半),2015,8,29
2015-08-30,(B)冬瓜(半),2015,8,30
2015-08-31,(B)冬瓜(半),2015,8,31
2015-09-01,(B)冬瓜(半),2015,9,1
2015-09-02,(B)冬瓜(半),2015,9,2
2015-09-03,(B)冬瓜(半),2015,9,3
2015-09-04,(B)冬瓜(半),2015,9,4
2015-09-05,(B)冬瓜(半),2015,9,5
2015-09-06,(B)冬瓜(半),2015,9,6
2015-09-07,(B)冬瓜(半),2015,9,7
2015-09-08,(B)冬瓜(半),2015,9,8
2015-09-09,(B)冬瓜(半),2015,9,9
2015-09-10,(B)冬瓜(半),2015,9,10
2015-09-11,(B)冬瓜(半),2015,9,11
2015-09-12,(B)冬瓜(半),2015,9,12
2015-09-13,(B)冬瓜(半),2015,9,13
2015-09-14,(B)冬瓜(半),2015,9,14
2015-09-15,(B)冬瓜(半),2015,9,15
2015-09-16,(B)冬瓜(半),2015,9,16
2015-09-17,(B)冬瓜(半),2015,9,17
2015-09-18,(B)冬瓜(半),2015,9,18
2015-09-19,(B)冬瓜(半),2015,9,19
2015-09-20,(B)冬瓜(半),2015,9,20
2015-09-21,(B)冬瓜(半),2015,9,21
2015-09-22,(B)冬瓜(半),2015,9,22
2015-09-23,(B)冬瓜(半),2015,9,23
2015-09-24,(B)冬瓜(半),2015,9,24
2015-09-25,(B)冬瓜(半),2015,9,25
2015-09-26,(B)冬瓜(半),2015,9,26
2015-09-27,(B)冬瓜(半),2015,9,27
2015-09-28,(B)冬瓜(半),2015,9,28
2015-09-29,(B)冬瓜(半),2015,9,29
2015-09-30,(B)冬瓜(半),2015,9,30
2015-10-01,(B)冬瓜(半),2015,10,1
2015-10-02,(B)冬瓜(半),2015,10,2
2015-10-03,(B)冬瓜(半),2015,10,3
2015-10-04,(B)冬瓜(半),2015,10,4
2015-10-05,(B)冬瓜(半),2015,10,5
2015-10-06,(B)冬瓜(半),2015,10,6
2015-10-07,(B)冬瓜(半),2015,10,7
2015-10-08,(B)冬瓜(半),2015,10,8
2015-10-09,(B)冬瓜(半),2015,10,9
2015-10-10,(B)冬瓜(半),2015,10,10
2015-10-11,(B)冬瓜(半),2015,10,11
2015-10-12,(B)冬瓜(半),2015,10,12
2015-10-13,(B)冬瓜(半),2015,10,13
2015-10-14,(B)冬瓜(半),2015,10,14
2015-10-15,(B)冬瓜(半),2015,10,15
2015-10-16,(B)冬瓜(半),2015,10,16
2015-10-17,(B)冬瓜(半),2015,10,17
2015-10-18,(B)冬瓜(半),2015,10,18
2015-10-19,(B)冬瓜(半),2015,10,19
2015-10-20,(B)冬瓜(半),2015,10,20
2015-10-21,(B)冬瓜(半),2015,10,21
2015-10-22,(B)冬瓜(半),2015,10,22
2015-10-23,(B)冬瓜(半),2015,10,23
2015-10-24,(B)冬瓜(半),2015,10,24
2015-10-25,(B)冬瓜(半),2015,10,25
2015-10-26,(B)冬瓜(半),2015,10,26
2015-10-27,(B)冬瓜(半),2015,10,27
2015-10-28,(B)冬瓜(半),2015,10,28
2015-10-29,(B)冬瓜(半),2015,10,29
2015-10-30,(B)冬瓜(半),2015,10,30
2015-10-31,(B)冬瓜(半),2015,10,31
2015-11-01,(B)冬瓜(半),2015,11,1
2015-11-02,(B)冬瓜(半),2015,11,2
2015-11-03,(B)冬瓜(半),2015,11,3
2015-11-04,(B)冬瓜(半),2015,11,4
2015-11-05,(B)冬瓜(半),2015,11,5
