STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20150906,(B)╤╛╧о(╟К),6,1,0
20150907,(B)╤╛╧о(╟К),0,0,0
20150908,(B)╤╛╧о(╟К),1,0,0
20150909,(B)╤╛╧о(╟К),2,0,0
20150910,(B)╤╛╧о(╟К),3,0,0
20150911,(B)╤╛╧о(╟К),4,0,0
20150912,(B)╤╛╧о(╟К),5,1,1
20150913,(B)╤╛╧о(╟К),6,1,1
20150914,(B)╤╛╧о(╟К),0,0,0
20150915,(B)╤╛╧о(╟К),1,0,0
20150916,(B)╤╛╧о(╟К),2,0,0
20150917,(B)╤╛╧о(╟К),3,0,0
20150918,(B)╤╛╧о(╟К),4,0,0
20150919,(B)╤╛╧о(╟К),5,1,1
20150920,(B)╤╛╧о(╟К),6,1,1
20150921,(B)╤╛╧о(╟К),0,0,0
20150922,(B)╤╛╧о(╟К),1,0,0
20150923,(B)╤╛╧о(╟К),2,0,0
20150924,(B)╤╛╧о(╟К),3,0,0
20150925,(B)╤╛╧о(╟К),4,0,0
20150926,(B)╤╛╧о(╟К),5,1,2
20150927,(B)╤╛╧о(╟К),6,1,2
20150928,(B)╤╛╧о(╟К),0,0,0
20150929,(B)╤╛╧о(╟К),1,0,0
20150930,(B)╤╛╧о(╟К),2,0,0
20151001,(B)╤╛╧о(╟К),3,0,2
20151002,(B)╤╛╧о(╟К),4,0,2
20151003,(B)╤╛╧о(╟К),5,1,2
20151004,(B)╤╛╧о(╟К),6,1,2
20151005,(B)╤╛╧о(╟К),0,0,2
20151006,(B)╤╛╧о(╟К),1,0,2
20151007,(B)╤╛╧о(╟К),2,0,2
20151008,(B)╤╛╧о(╟К),3,0,0
20151009,(B)╤╛╧о(╟К),4,0,0
20151010,(B)╤╛╧о(╟К),5,1,0
20151011,(B)╤╛╧о(╟К),6,1,1
20151012,(B)╤╛╧о(╟К),0,0,0
20151013,(B)╤╛╧о(╟К),1,0,0
20151014,(B)╤╛╧о(╟К),2,0,0
20151015,(B)╤╛╧о(╟К),3,0,0
20151016,(B)╤╛╧о(╟К),4,0,0
20151017,(B)╤╛╧о(╟К),5,1,1
20151018,(B)╤╛╧о(╟К),6,1,1
20151019,(B)╤╛╧о(╟К),0,0,0
20151020,(B)╤╛╧о(╟К),1,0,0
20151021,(B)╤╛╧о(╟К),2,0,0
20151022,(B)╤╛╧о(╟К),3,0,0
20151023,(B)╤╛╧о(╟К),4,0,0
20151024,(B)╤╛╧о(╟К),5,1,1
20151025,(B)╤╛╧о(╟К),6,1,1
20151026,(B)╤╛╧о(╟К),0,0,0
20151027,(B)╤╛╧о(╟К),1,0,0
20151028,(B)╤╛╧о(╟К),2,0,0
20151029,(B)╤╛╧о(╟К),3,0,0
20151030,(B)╤╛╧о(╟К),4,0,0
20151031,(B)╤╛╧о(╟К),5,1,1
20151101,(B)╤╛╧о(╟К),6,1,1
20151102,(B)╤╛╧о(╟К),0,0,0
20151103,(B)╤╛╧о(╟К),1,0,0
20151104,(B)╤╛╧о(╟К),2,0,0
20151105,(B)╤╛╧о(╟К),3,0,0
20151106,(B)╤╛╧о(╟К),4,0,0
20151107,(B)╤╛╧о(╟К),5,1,1
20151108,(B)╤╛╧о(╟К),6,1,1
20151109,(B)╤╛╧о(╟К),0,0,0
20151110,(B)╤╛╧о(╟К),1,0,0
20151111,(B)╤╛╧о(╟К),2,0,0
20151112,(B)╤╛╧о(╟К),3,0,0
20151113,(B)╤╛╧о(╟К),4,0,0
20151114,(B)╤╛╧о(╟К),5,1,1
20151115,(B)╤╛╧о(╟К),6,1,1
20151116,(B)╤╛╧о(╟К),0,0,0
