STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20170121,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170122,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170123,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170124,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170125,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170126,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170129,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170130,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170131,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170201,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170202,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170203,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170204,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170205,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170206,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170207,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170208,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170209,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170210,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170211,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170212,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170213,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170214,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170215,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170216,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170217,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170218,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170219,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170220,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170221,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170222,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170223,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170224,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170225,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170226,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170227,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170228,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170301,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170302,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170303,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170304,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170305,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170306,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170307,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170308,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170309,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170310,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170311,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170312,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170313,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170314,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170315,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170316,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170317,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170318,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170319,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170320,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170321,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170322,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170323,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170324,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170325,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170326,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170327,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170328,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170329,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170330,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170331,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170401,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170402,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170403,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170404,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170405,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170406,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170407,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170408,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170409,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170410,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170411,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170412,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170413,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170414,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170415,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170416,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170417,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170418,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170419,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170420,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170421,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170422,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170423,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170424,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170425,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170426,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170427,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170428,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170429,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170430,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170501,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170502,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170503,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170504,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170505,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170506,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170507,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170508,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170509,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170510,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170511,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170512,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170513,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170514,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170515,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170516,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170517,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170518,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170519,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170520,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170521,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170522,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170523,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170524,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170525,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170526,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170527,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170528,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170529,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170530,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170531,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170601,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170602,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170603,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170604,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170605,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170606,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170607,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170608,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170609,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170610,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170611,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170612,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170613,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170614,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170615,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170616,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170617,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170618,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170619,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170620,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170621,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170622,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170623,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170624,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170625,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170626,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170627,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170628,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170629,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170630,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170701,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170702,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170703,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170704,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170705,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170706,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170707,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170708,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170709,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170710,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170711,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170712,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170713,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170714,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170715,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170716,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170717,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170718,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170719,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170720,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170721,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170722,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170723,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170724,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170725,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170726,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170727,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170728,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170729,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170730,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170731,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170801,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170802,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170803,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170804,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170805,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170806,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170807,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170808,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170809,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170810,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170811,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170812,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170813,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170814,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170815,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170816,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170817,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170818,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170819,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170820,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170821,(B)╟ЭпдиЗ╡к(╟К),0,0,
20170822,(B)╟ЭпдиЗ╡к(╟К),1,0,
20170823,(B)╟ЭпдиЗ╡к(╟К),2,0,
20170824,(B)╟ЭпдиЗ╡к(╟К),3,0,
20170825,(B)╟ЭпдиЗ╡к(╟К),4,0,
20170826,(B)╟ЭпдиЗ╡к(╟К),5,1,
20170827,(B)╟ЭпдиЗ╡к(╟К),6,1,
20170828,(B)╟ЭпдиЗ╡к(╟К),0,0,
20150501,(B)╢С╟в╡к(╟К),4,0,
20150502,(B)╢С╟в╡к(╟К),5,1,
20150503,(B)╢С╟в╡к(╟К),6,1,
20150504,(B)╢С╟в╡к(╟К),0,0,
20150505,(B)╢С╟в╡к(╟К),1,0,
20150506,(B)╢С╟в╡к(╟К),2,0,
20150507,(B)╢С╟в╡к(╟К),3,0,
20150508,(B)╢С╟в╡к(╟К),4,0,
20150509,(B)╢С╟в╡к(╟К),5,1,
20150510,(B)╢С╟в╡к(╟К),6,1,
20150511,(B)╢С╟в╡к(╟К),0,0,
20150512,(B)╢С╟в╡к(╟К),1,0,
20150513,(B)╢С╟в╡к(╟К),2,0,
20150514,(B)╢С╟в╡к(╟К),3,0,
20150515,(B)╢С╟в╡к(╟К),4,0,
20150516,(B)╢С╟в╡к(╟К),5,1,
20150517,(B)╢С╟в╡к(╟К),6,1,
20150518,(B)╢С╟в╡к(╟К),0,0,
20150519,(B)╢С╟в╡к(╟К),1,0,
20150520,(B)╢С╟в╡к(╟К),2,0,
20150521,(B)╢С╟в╡к(╟К),3,0,
20150522,(B)╢С╟в╡к(╟К),4,0,
20150523,(B)╢С╟в╡к(╟К),5,1,
20150524,(B)╢С╟в╡к(╟К),6,1,
20150525,(B)╢С╟в╡к(╟К),0,0,
20150526,(B)╢С╟в╡к(╟К),1,0,
20150527,(B)╢С╟в╡к(╟К),2,0,
20150528,(B)╢С╟в╡к(╟К),3,0,
20150529,(B)╢С╟в╡к(╟К),4,0,
20150530,(B)╢С╟в╡к(╟К),5,1,
20150531,(B)╢С╟в╡к(╟К),6,1,
20150601,(B)╢С╟в╡к(╟К),0,0,
20150602,(B)╢С╟в╡к(╟К),1,0,
20150603,(B)╢С╟в╡к(╟К),2,0,
20150604,(B)╢С╟в╡к(╟К),3,0,
20150605,(B)╢С╟в╡к(╟К),4,0,
20150606,(B)╢С╟в╡к(╟К),5,1,
20150607,(B)╢С╟в╡к(╟К),6,1,
20150608,(B)╢С╟в╡к(╟К),0,0,
20150609,(B)╢С╟в╡к(╟К),1,0,
20150610,(B)╢С╟в╡к(╟К),2,0,
20150611,(B)╢С╟в╡к(╟К),3,0,
20150612,(B)╢С╟в╡к(╟К),4,0,
20150613,(B)╢С╟в╡к(╟К),5,1,
20150614,(B)╢С╟в╡к(╟К),6,1,
20150615,(B)╢С╟в╡к(╟К),0,0,
20150616,(B)╢С╟в╡к(╟К),1,0,
20150617,(B)╢С╟в╡к(╟К),2,0,
20150618,(B)╢С╟в╡к(╟К),3,0,
20150619,(B)╢С╟в╡к(╟К),4,0,
20150620,(B)╢С╟в╡к(╟К),5,1,
20150621,(B)╢С╟в╡к(╟К),6,1,
20150622,(B)╢С╟в╡к(╟К),0,0,
20150623,(B)╢С╟в╡к(╟К),1,0,
20150624,(B)╢С╟в╡к(╟К),2,0,
20150625,(B)╢С╟в╡к(╟К),3,0,
20150626,(B)╢С╟в╡к(╟К),4,0,
20150627,(B)╢С╟в╡к(╟К),5,1,
20150628,(B)╢С╟в╡к(╟К),6,1,
20150629,(B)╢С╟в╡к(╟К),0,0,
20150630,(B)╢С╟в╡к(╟К),1,0,
20150701,(B)╢С╟в╡к(╟К),2,0,
20150702,(B)╢С╟в╡к(╟К),3,0,
20150703,(B)╢С╟в╡к(╟К),4,0,
20150704,(B)╢С╟в╡к(╟К),5,1,
20150705,(B)╢С╟в╡к(╟К),6,1,
20150706,(B)╢С╟в╡к(╟К),0,0,
20150707,(B)╢С╟в╡к(╟К),1,0,
20150708,(B)╢С╟в╡к(╟К),2,0,
20150709,(B)╢С╟в╡к(╟К),3,0,
20150710,(B)╢С╟в╡к(╟К),4,0,
20150711,(B)╢С╟в╡к(╟К),5,1,
20150712,(B)╢С╟в╡к(╟К),6,1,
20150713,(B)╢С╟в╡к(╟К),0,0,
20150714,(B)╢С╟в╡к(╟К),1,0,
20150715,(B)╢С╟в╡к(╟К),2,0,
20150716,(B)╢С╟в╡к(╟К),3,0,
20150717,(B)╢С╟в╡к(╟К),4,0,
20150718,(B)╢С╟в╡к(╟К),5,1,
20150719,(B)╢С╟в╡к(╟К),6,1,
20150720,(B)╢С╟в╡к(╟К),0,0,
20150721,(B)╢С╟в╡к(╟К),1,0,
20150722,(B)╢С╟в╡к(╟К),2,0,
20150723,(B)╢С╟в╡к(╟К),3,0,
20150724,(B)╢С╟в╡к(╟К),4,0,
20150725,(B)╢С╟в╡к(╟К),5,1,
20150726,(B)╢С╟в╡к(╟К),6,1,
20150727,(B)╢С╟в╡к(╟К),0,0,
20150728,(B)╢С╟в╡к(╟К),1,0,
20150729,(B)╢С╟в╡к(╟К),2,0,
20150730,(B)╢С╟в╡к(╟К),3,0,
20150731,(B)╢С╟в╡к(╟К),4,0,
20150801,(B)╢С╟в╡к(╟К),5,1,
20150802,(B)╢С╟в╡к(╟К),6,1,
20150803,(B)╢С╟в╡к(╟К),0,0,
20150804,(B)╢С╟в╡к(╟К),1,0,
20150805,(B)╢С╟в╡к(╟К),2,0,
20150806,(B)╢С╟в╡к(╟К),3,0,
20150807,(B)╢С╟в╡к(╟К),4,0,
20150808,(B)╢С╟в╡к(╟К),5,1,
20150809,(B)╢С╟в╡к(╟К),6,1,
20150810,(B)╢С╟в╡к(╟К),0,0,
20150811,(B)╢С╟в╡к(╟К),1,0,
20150812,(B)╢С╟в╡к(╟К),2,0,
20150813,(B)╢С╟в╡к(╟К),3,0,
20150814,(B)╢С╟в╡к(╟К),4,0,
20150817,(B)╢С╟в╡к(╟К),0,0,
20150818,(B)╢С╟в╡к(╟К),1,0,
20150819,(B)╢С╟в╡к(╟К),2,0,
20150820,(B)╢С╟в╡к(╟К),3,0,
20150821,(B)╢С╟в╡к(╟К),4,0,
20150822,(B)╢С╟в╡к(╟К),5,1,
20150823,(B)╢С╟в╡к(╟К),6,1,
20150824,(B)╢С╟в╡к(╟К),0,0,
20150825,(B)╢С╟в╡к(╟К),1,0,
20150826,(B)╢С╟в╡к(╟К),2,0,
20150827,(B)╢С╟в╡к(╟К),3,0,
20150828,(B)╢С╟в╡к(╟К),4,0,
20150829,(B)╢С╟в╡к(╟К),5,1,
20150830,(B)╢С╟в╡к(╟К),6,1,
20150831,(B)╢С╟в╡к(╟К),0,0,
20150901,(B)╢С╟в╡к(╟К),1,0,
20150902,(B)╢С╟в╡к(╟К),2,0,
20150903,(B)╢С╟в╡к(╟К),3,0,
20150904,(B)╢С╟в╡к(╟К),4,0,
20150905,(B)╢С╟в╡к(╟К),5,1,
20150906,(B)╢С╟в╡к(╟К),6,1,
20150907,(B)╢С╟в╡к(╟К),0,0,
20150908,(B)╢С╟в╡к(╟К),1,0,
20150909,(B)╢С╟в╡к(╟К),2,0,
20150910,(B)╢С╟в╡к(╟К),3,0,
20150911,(B)╢С╟в╡к(╟К),4,0,
20150912,(B)╢С╟в╡к(╟К),5,1,
20150913,(B)╢С╟в╡к(╟К),6,1,
20150914,(B)╢С╟в╡к(╟К),0,0,
20150915,(B)╢С╟в╡к(╟К),1,0,
20150916,(B)╢С╟в╡к(╟К),2,0,
20150917,(B)╢С╟в╡к(╟К),3,0,
20150918,(B)╢С╟в╡к(╟К),4,0,
20150919,(B)╢С╟в╡к(╟К),5,1,
20150920,(B)╢С╟в╡к(╟К),6,1,
20150921,(B)╢С╟в╡к(╟К),0,0,
20150922,(B)╢С╟в╡к(╟К),1,0,
20150923,(B)╢С╟в╡к(╟К),2,0,
20150924,(B)╢С╟в╡к(╟К),3,0,
20150925,(B)╢С╟в╡к(╟К),4,0,
20150926,(B)╢С╟в╡к(╟К),5,1,
20150927,(B)╢С╟в╡к(╟К),6,1,
20150928,(B)╢С╟в╡к(╟К),0,0,
20150929,(B)╢С╟в╡к(╟К),1,0,
20150930,(B)╢С╟в╡к(╟К),2,0,
20151001,(B)╢С╟в╡к(╟К),3,0,
20151002,(B)╢С╟в╡к(╟К),4,0,
20151003,(B)╢С╟в╡к(╟К),5,1,
20151004,(B)╢С╟в╡к(╟К),6,1,
20151005,(B)╢С╟в╡к(╟К),0,0,
20151006,(B)╢С╟в╡к(╟К),1,0,
20151007,(B)╢С╟в╡к(╟К),2,0,
20151008,(B)╢С╟в╡к(╟К),3,0,
20151009,(B)╢С╟в╡к(╟К),4,0,
20151010,(B)╢С╟в╡к(╟К),5,1,
20151011,(B)╢С╟в╡к(╟К),6,1,
20151012,(B)╢С╟в╡к(╟К),0,0,
20151013,(B)╢С╟в╡к(╟К),1,0,
20151014,(B)╢С╟в╡к(╟К),2,0,
20151015,(B)╢С╟в╡к(╟К),3,0,
20151016,(B)╢С╟в╡к(╟К),4,0,
20151017,(B)╢С╟в╡к(╟К),5,1,
20151018,(B)╢С╟в╡к(╟К),6,1,
20151019,(B)╢С╟в╡к(╟К),0,0,
20151020,(B)╢С╟в╡к(╟К),1,0,
20151021,(B)╢С╟в╡к(╟К),2,0,
20151022,(B)╢С╟в╡к(╟К),3,0,
20151023,(B)╢С╟в╡к(╟К),4,0,
20151024,(B)╢С╟в╡к(╟К),5,1,
20151025,(B)╢С╟в╡к(╟К),6,1,
20151026,(B)╢С╟в╡к(╟К),0,0,
20151027,(B)╢С╟в╡к(╟К),1,0,
20151028,(B)╢С╟в╡к(╟К),2,0,
20151029,(B)╢С╟в╡к(╟К),3,0,
20151030,(B)╢С╟в╡к(╟К),4,0,
20151031,(B)╢С╟в╡к(╟К),5,1,
20151101,(B)╢С╟в╡к(╟К),6,1,
20151102,(B)╢С╟в╡к(╟К),0,0,
20151103,(B)╢С╟в╡к(╟К),1,0,
20151104,(B)╢С╟в╡к(╟К),2,0,
20151105,(B)╢С╟в╡к(╟К),3,0,
20151106,(B)╢С╟в╡к(╟К),4,0,
20151107,(B)╢С╟в╡к(╟К),5,1,
20151108,(B)╢С╟в╡к(╟К),6,1,
20151109,(B)╢С╟в╡к(╟К),0,0,
20151110,(B)╢С╟в╡к(╟К),1,0,
20151111,(B)╢С╟в╡к(╟К),2,0,
20151112,(B)╢С╟в╡к(╟К),3,0,
20151113,(B)╢С╟в╡к(╟К),4,0,
20151114,(B)╢С╟в╡к(╟К),5,1,
20151115,(B)╢С╟в╡к(╟К),6,1,
20151116,(B)╢С╟в╡к(╟К),0,0,
20151117,(B)╢С╟в╡к(╟К),1,0,
20151118,(B)╢С╟в╡к(╟К),2,0,
20151119,(B)╢С╟в╡к(╟К),3,0,
20151120,(B)╢С╟в╡к(╟К),4,0,
20151121,(B)╢С╟в╡к(╟К),5,1,
20151122,(B)╢С╟в╡к(╟К),6,1,
20151123,(B)╢С╟в╡к(╟К),0,0,
20151124,(B)╢С╟в╡к(╟К),1,0,
20151125,(B)╢С╟в╡к(╟К),2,0,
20151126,(B)╢С╟в╡к(╟К),3,0,
20151127,(B)╢С╟в╡к(╟К),4,0,
20151128,(B)╢С╟в╡к(╟К),5,1,
20151129,(B)╢С╟в╡к(╟К),6,1,
20151130,(B)╢С╟в╡к(╟К),0,0,
20151201,(B)╢С╟в╡к(╟К),1,0,
20151202,(B)╢С╟в╡к(╟К),2,0,
20151203,(B)╢С╟в╡к(╟К),3,0,
20151204,(B)╢С╟в╡к(╟К),4,0,
20151205,(B)╢С╟в╡к(╟К),5,1,
20151206,(B)╢С╟в╡к(╟К),6,1,
20151207,(B)╢С╟в╡к(╟К),0,0,
20151208,(B)╢С╟в╡к(╟К),1,0,
20151209,(B)╢С╟в╡к(╟К),2,0,
20151210,(B)╢С╟в╡к(╟К),3,0,
20151211,(B)╢С╟в╡к(╟К),4,0,
20151212,(B)╢С╟в╡к(╟К),5,1,
20151213,(B)╢С╟в╡к(╟К),6,1,
20151214,(B)╢С╟в╡к(╟К),0,0,
20151215,(B)╢С╟в╡к(╟К),1,0,
20151216,(B)╢С╟в╡к(╟К),2,0,
20151217,(B)╢С╟в╡к(╟К),3,0,
20151218,(B)╢С╟в╡к(╟К),4,0,
20151219,(B)╢С╟в╡к(╟К),5,1,
20151220,(B)╢С╟в╡к(╟К),6,1,
20151221,(B)╢С╟в╡к(╟К),0,0,
20151222,(B)╢С╟в╡к(╟К),1,0,
20151223,(B)╢С╟в╡к(╟К),2,0,
20151224,(B)╢С╟в╡к(╟К),3,0,
20151225,(B)╢С╟в╡к(╟К),4,0,
20151226,(B)╢С╟в╡к(╟К),5,1,
20151227,(B)╢С╟в╡к(╟К),6,1,
20151228,(B)╢С╟в╡к(╟К),0,0,
20151229,(B)╢С╟в╡к(╟К),1,0,
20151230,(B)╢С╟в╡к(╟К),2,0,
20151231,(B)╢С╟в╡к(╟К),3,0,
20160101,(B)╢С╟в╡к(╟К),4,0,
20160102,(B)╢С╟в╡к(╟К),5,1,
20160103,(B)╢С╟в╡к(╟К),6,1,
20160104,(B)╢С╟в╡к(╟К),0,0,
20160105,(B)╢С╟в╡к(╟К),1,0,
20160106,(B)╢С╟в╡к(╟К),2,0,
20160107,(B)╢С╟в╡к(╟К),3,0,
20160108,(B)╢С╟в╡к(╟К),4,0,
20160109,(B)╢С╟в╡к(╟К),5,1,
20160110,(B)╢С╟в╡к(╟К),6,1,
20160111,(B)╢С╟в╡к(╟К),0,0,
20160112,(B)╢С╟в╡к(╟К),1,0,
20160113,(B)╢С╟в╡к(╟К),2,0,
20160114,(B)╢С╟в╡к(╟К),3,0,
20160115,(B)╢С╟в╡к(╟К),4,0,
20160116,(B)╢С╟в╡к(╟К),5,1,
20160117,(B)╢С╟в╡к(╟К),6,1,
20160118,(B)╢С╟в╡к(╟К),0,0,
20160119,(B)╢С╟в╡к(╟К),1,0,
20160120,(B)╢С╟в╡к(╟К),2,0,
20160121,(B)╢С╟в╡к(╟К),3,0,
20160122,(B)╢С╟в╡к(╟К),4,0,
20160123,(B)╢С╟в╡к(╟К),5,1,
20160124,(B)╢С╟в╡к(╟К),6,1,
20160125,(B)╢С╟в╡к(╟К),0,0,
20160126,(B)╢С╟в╡к(╟К),1,0,
20160127,(B)╢С╟в╡к(╟К),2,0,
20160128,(B)╢С╟в╡к(╟К),3,0,
20160129,(B)╢С╟в╡к(╟К),4,0,
20160130,(B)╢С╟в╡к(╟К),5,1,
20160131,(B)╢С╟в╡к(╟К),6,1,
20160201,(B)╢С╟в╡к(╟К),0,0,
20160202,(B)╢С╟в╡к(╟К),1,0,
20160203,(B)╢С╟в╡к(╟К),2,0,
