ÈÕÆÚ,²ËÆ·Ãû³Æ,ÏúÁ¿ÕæÊµÖµ,ÏúÁ¿Ô¤²âÖµ,¾ø¶ÔÎó²î,Ïà¶ÔÎó²î,×¼È·ÂÊ,Æ½¾ù¾ø¶ÔÎó²î
2017-08-16,»ÆÌÇôÙôÎ,22.0,17.0,-5.0,-22.73%,77.27%,
2017-08-17,»ÆÌÇôÙôÎ,21.0,19.0,-2.0,-9.52%,90.48%,
2017-08-18,»ÆÌÇôÙôÎ,18.0,20.0,2.0,11.11%,88.89%,
2017-08-19,»ÆÌÇôÙôÎ,26.0,24.0,-2.0,-7.69%,92.31%,
2017-08-15,(B)²¤²Ë(°ë),107.0,98.0,-9.0,-8.41%,91.59%,
2017-08-16,(B)²¤²Ë(°ë),106.0,102.0,-4.0,-3.77%,96.23%,
2017-08-17,(B)²¤²Ë(°ë),87.0,102.0,15.0,17.24%,82.76%,
2017-08-18,(B)²¤²Ë(°ë),92.0,102.0,10.0,10.87%,89.13%,
2017-08-19,(B)²¤²Ë(°ë),128.0,133.0,5.0,3.91%,96.09%,
2017-08-15,½ðÕë¹½,47.0,36.0,-11.0,-23.40%,76.60%,
2017-08-16,½ðÕë¹½,47.0,34.0,-13.0,-27.66%,72.34%,
2017-08-17,½ðÕë¹½,37.0,36.0,-1.0,-2.70%,97.30%,
2017-08-18,½ðÕë¹½,51.0,34.0,-17.0,-33.33%,66.67%,
2017-08-19,½ðÕë¹½,52.0,45.0,-7.0,-13.46%,86.54%,
2017-08-15,(B)ÇàËñ(°ë),97.0,99.0,2.0,2.06%,97.94%,
2017-08-16,(B)ÇàËñ(°ë),93.0,96.0,3.0,3.23%,96.77%,
2017-08-17,(B)ÇàËñ(°ë),113.0,111.0,-2.0,-1.77%,98.23%,
2017-08-18,(B)ÇàËñ(°ë),101.0,103.0,2.0,1.98%,98.02%,
2017-08-19,(B)ÇàËñ(°ë),152.0,152.0,0.0,0.00%,100.00%,
2017-08-15,³¤ÊÙÃæ,13.0,10.0,-3.0,-23.08%,76.92%,
2017-08-16,³¤ÊÙÃæ,13.0,11.0,-2.0,-15.38%,84.62%,
2017-08-17,³¤ÊÙÃæ,10.0,11.0,1.0,10.00%,90.00%,
2017-08-18,³¤ÊÙÃæ,12.0,14.0,2.0,16.67%,83.33%,
2017-08-19,³¤ÊÙÃæ,24.0,23.0,-1.0,-4.17%,95.83%,
2017-08-15,(B)Ä¾¶ú(°ë),75.0,70.0,-5.0,-6.67%,93.33%,
2017-08-16,(B)Ä¾¶ú(°ë),73.0,70.0,-3.0,-4.11%,95.89%,
2017-08-17,(B)Ä¾¶ú(°ë),68.0,68.0,0.0,0.00%,100.00%,
2017-08-18,(B)Ä¾¶ú(°ë),63.0,61.0,-2.0,-3.17%,96.83%,
2017-08-19,(B)Ä¾¶ú(°ë),102.0,92.0,-10.0,-9.80%,90.20%,
2017-08-15,(B)ÖñËñ(°ë),85.0,75.0,-10.0,-11.76%,88.24%,
2017-08-16,(B)ÖñËñ(°ë),83.0,78.0,-5.0,-6.02%,93.98%,
2017-08-17,(B)ÖñËñ(°ë),68.0,79.0,11.0,16.18%,83.82%,
2017-08-18,(B)ÖñËñ(°ë),90.0,82.0,-8.0,-8.89%,91.11%,
2017-08-19,(B)ÖñËñ(°ë),115.0,112.0,-3.0,-2.61%,97.39%,
