ÈÕÆÚ,²ËÆ·Ãû³Æ,ÏúÁ¿ÕæÊµÖµ,ÏúÁ¿Ô¤²âÖµ,¾ø¶ÔÎó²î,Ïà¶ÔÎó²î,×¼È·ÂÊ,Æ½¾ù¾ø¶ÔÎó²î
2017-08-15,¶¹¸¯,21.0,14.0,-7.0,-33.33%,66.67%,
2017-08-16,¶¹¸¯,10.0,12.0,2.0,20.00%,80.00%,
2017-08-17,¶¹¸¯,12.0,14.0,2.0,16.67%,83.33%,
2017-08-18,¶¹¸¯,12.0,13.0,1.0,8.33%,91.67%,
2017-08-19,¶¹¸¯,21.0,20.0,-1.0,-4.76%,95.24%,
2017-08-15,(B)¾«Æ··ÊÅ£(°ë),80.0,80.0,0.0,0.00%,100.00%,
2017-08-16,(B)¾«Æ··ÊÅ£(°ë),91.0,89.0,-2.0,-2.20%,97.80%,
2017-08-17,(B)¾«Æ··ÊÅ£(°ë),72.0,85.0,13.0,18.06%,81.94%,
2017-08-18,(B)¾«Æ··ÊÅ£(°ë),91.0,87.0,-4.0,-4.40%,95.60%,
2017-08-19,(B)¾«Æ··ÊÅ£(°ë),122.0,120.0,-2.0,-1.64%,98.36%,
2017-08-15,ðÆðÈµ°(°ë),52.0,53.0,1.0,1.92%,98.08%,
2017-08-16,ðÆðÈµ°(°ë),55.0,50.0,-5.0,-9.09%,90.91%,
2017-08-17,ðÆðÈµ°(°ë),52.0,57.0,5.0,9.62%,90.38%,
2017-08-18,ðÆðÈµ°(°ë),53.0,54.0,1.0,1.89%,98.11%,
2017-08-19,ðÆðÈµ°(°ë),86.0,79.0,-7.0,-8.14%,91.86%,
2017-08-15,Ë®¾§·ÛË¿,18.0,15.0,-3.0,-16.67%,83.33%,
2017-08-16,Ë®¾§·ÛË¿,13.0,13.0,0.0,0.00%,100.00%,
2017-08-17,Ë®¾§·ÛË¿,13.0,14.0,1.0,7.69%,92.31%,
2017-08-18,Ë®¾§·ÛË¿,18.0,14.0,-4.0,-22.22%,77.78%,
2017-08-19,Ë®¾§·ÛË¿,18.0,20.0,2.0,11.11%,88.89%,
2017-08-15,(B)Ð·Î¶°ô(°ë),60.0,51.0,-9.0,-15.00%,85.00%,
2017-08-16,(B)Ð·Î¶°ô(°ë),48.0,52.0,4.0,8.33%,91.67%,
2017-08-17,(B)Ð·Î¶°ô(°ë),49.0,56.0,7.0,14.29%,85.71%,
2017-08-18,(B)Ð·Î¶°ô(°ë),60.0,55.0,-5.0,-8.33%,91.67%,
2017-08-19,(B)Ð·Î¶°ô(°ë),78.0,74.0,-4.0,-5.13%,94.87%,
2017-08-15,(B)¶³Ïº(°ë),28.0,20.0,-8.0,-28.57%,71.43%,
2017-08-16,(B)¶³Ïº(°ë),18.0,25.0,7.0,38.89%,61.11%,
2017-08-17,(B)¶³Ïº(°ë),19.0,24.0,5.0,26.32%,73.68%,
2017-08-18,(B)¶³Ïº(°ë),22.0,20.0,-2.0,-9.09%,90.91%,
2017-08-19,(B)¶³Ïº(°ë),27.0,31.0,4.0,14.81%,85.19%,
2017-08-15,°üÐÄÉú²Ë,31.0,25.0,-6.0,-19.35%,80.65%,
2017-08-16,°üÐÄÉú²Ë,31.0,26.0,-5.0,-16.13%,83.87%,
2017-08-17,°üÐÄÉú²Ë,25.0,28.0,3.0,12.00%,88.00%,
2017-08-18,°üÐÄÉú²Ë,32.0,29.0,-3.0,-9.38%,90.62%,
2017-08-19,°üÐÄÉú²Ë,45.0,38.0,-7.0,-15.56%,84.44%,
2017-08-15,ËñÆ¬,15.0,13.0,-2.0,-13.33%,86.67%,
2017-08-16,ËñÆ¬,16.0,15.0,-1.0,-6.25%,93.75%,
2017-08-17,ËñÆ¬,12.0,13.0,1.0,8.33%,91.67%,
2017-08-18,ËñÆ¬,15.0,15.0,0.0,0.00%,100.00%,
2017-08-19,ËñÆ¬,20.0,18.0,-2.0,-10.00%,90.00%,
2017-08-15,(B)ÀÌÅÉ¶¹»¨(°ë),79.0,72.0,-7.0,-8.86%,91.14%,
2017-08-16,(B)ÀÌÅÉ¶¹»¨(°ë),79.0,71.0,-8.0,-10.13%,89.87%,
2017-08-17,(B)ÀÌÅÉ¶¹»¨(°ë),77.0,73.0,-4.0,-5.19%,94.81%,
2017-08-18,(B)ÀÌÅÉ¶¹»¨(°ë),79.0,76.0,-3.0,-3.80%,96.20%,
2017-08-19,(B)ÀÌÅÉ¶¹»¨(°ë),93.0,101.0,8.0,8.60%,91.40%,
2017-08-15,ðÆðÈµ°,12.0,10.0,-2.0,-16.67%,83.33%,
2017-08-16,ðÆðÈµ°,10.0,10.0,0.0,0.00%,100.00%,
2017-08-17,ðÆðÈµ°,9.0,9.0,0.0,0.00%,100.00%,
2017-08-18,ðÆðÈµ°,13.0,11.0,-2.0,-15.38%,84.62%,
2017-08-19,ðÆðÈµ°,20.0,12.0,-8.0,-40.00%,60.00%,
2017-08-15,Ñ¼Éà,8.0,9.0,1.0,12.50%,87.50%,
2017-08-16,Ñ¼Éà,10.0,8.0,-2.0,-20.00%,80.00%,
2017-08-17,Ñ¼Éà,7.0,8.0,1.0,14.29%,85.71%,
2017-08-18,Ñ¼Éà,11.0,9.0,-2.0,-18.18%,81.82%,
2017-08-19,Ñ¼Éà,7.0,10.0,3.0,42.86%,57.14%,
2017-08-15,¿íÜæ·Û(°ë),71.0,58.0,-13.0,-18.31%,81.69%,
2017-08-16,¿íÜæ·Û(°ë),63.0,61.0,-2.0,-3.17%,96.83%,
2017-08-17,¿íÜæ·Û(°ë),56.0,62.0,6.0,10.71%,89.29%,
2017-08-18,¿íÜæ·Û(°ë),69.0,65.0,-4.0,-5.80%,94.20%,
2017-08-19,¿íÜæ·Û(°ë),89.0,84.0,-5.0,-5.62%,94.38%,
2017-08-15,(B)º£´ø(°ë),92.0,90.0,-2.0,-2.17%,97.83%,
2017-08-16,(B)º£´ø(°ë),95.0,101.0,6.0,6.32%,93.68%,
2017-08-17,(B)º£´ø(°ë),92.0,86.0,-6.0,-6.52%,93.48%,
2017-08-18,(B)º£´ø(°ë),99.0,99.0,0.0,0.00%,100.00%,
2017-08-19,(B)º£´ø(°ë),149.0,126.0,-23.0,-15.44%,84.56%,
2017-08-15,(B)½ðÕë¹½(°ë),130.0,115.0,-15.0,-11.54%,88.46%,
2017-08-16,(B)½ðÕë¹½(°ë),138.0,119.0,-19.0,-13.77%,86.23%,
2017-08-17,(B)½ðÕë¹½(°ë),121.0,130.0,9.0,7.44%,92.56%,
2017-08-18,(B)½ðÕë¹½(°ë),132.0,128.0,-4.0,-3.03%,96.97%,
2017-08-19,(B)½ðÕë¹½(°ë),185.0,188.0,3.0,1.62%,98.38%,
2017-08-15,É½Ò©,11.0,9.0,-2.0,-18.18%,81.82%,
2017-08-16,É½Ò©,13.0,11.0,-2.0,-15.38%,84.62%,
2017-08-17,É½Ò©,9.0,11.0,2.0,22.22%,77.78%,
2017-08-18,É½Ò©,10.0,14.0,4.0,40.00%,60.00%,
2017-08-19,É½Ò©,17.0,16.0,-1.0,-5.88%,94.12%,
2017-08-15,(B)Ñ¼Éà(°ë),36.0,33.0,-3.0,-8.33%,91.67%,
2017-08-16,(B)Ñ¼Éà(°ë),33.0,32.0,-1.0,-3.03%,96.97%,
2017-08-17,(B)Ñ¼Éà(°ë),29.0,32.0,3.0,10.34%,89.66%,
2017-08-18,(B)Ñ¼Éà(°ë),36.0,31.0,-5.0,-13.89%,86.11%,
2017-08-19,(B)Ñ¼Éà(°ë),35.0,44.0,9.0,25.71%,74.29%,
2017-08-15,¾«Æ··ÊÅ£,87.0,79.0,-8.0,-9.20%,90.80%,
2017-08-16,¾«Æ··ÊÅ£,81.0,91.0,10.0,12.35%,87.65%,
2017-08-17,¾«Æ··ÊÅ£,71.0,84.0,13.0,18.31%,81.69%,
2017-08-18,¾«Æ··ÊÅ£,96.0,92.0,-4.0,-4.17%,95.83%,
2017-08-19,¾«Æ··ÊÅ£,132.0,112.0,-20.0,-15.15%,84.85%,
2017-08-15,×ÔÑ¡µ÷ÁÏ(ÎÞ),34.0,23.0,-11.0,-32.35%,67.65%,
2017-08-16,×ÔÑ¡µ÷ÁÏ(ÎÞ),33.0,25.0,-8.0,-24.24%,75.76%,
2017-08-17,×ÔÑ¡µ÷ÁÏ(ÎÞ),33.0,25.0,-8.0,-24.24%,75.76%,
2017-08-18,×ÔÑ¡µ÷ÁÏ(ÎÞ),21.0,23.0,2.0,9.52%,90.48%,
2017-08-19,×ÔÑ¡µ÷ÁÏ(ÎÞ),52.0,49.0,-3.0,-5.77%,94.23%,
2017-08-15,(B)¶¹¸¯Æ¤(°ë),77.0,73.0,-4.0,-5.19%,94.81%,
2017-08-16,(B)¶¹¸¯Æ¤(°ë),81.0,71.0,-10.0,-12.35%,87.65%,
2017-08-17,(B)¶¹¸¯Æ¤(°ë),71.0,72.0,1.0,1.41%,98.59%,
2017-08-18,(B)¶¹¸¯Æ¤(°ë),79.0,80.0,1.0,1.27%,98.73%,
2017-08-19,(B)¶¹¸¯Æ¤(°ë),106.0,105.0,-1.0,-0.94%,99.06%,
2017-08-15,ºìÊí·Û´ø,18.0,14.0,-4.0,-22.22%,77.78%,
2017-08-16,ºìÊí·Û´ø,16.0,13.0,-3.0,-18.75%,81.25%,
2017-08-17,ºìÊí·Û´ø,11.0,14.0,3.0,27.27%,72.73%,
2017-08-18,ºìÊí·Û´ø,16.0,14.0,-2.0,-12.50%,87.50%,
2017-08-19,ºìÊí·Û´ø,20.0,21.0,1.0,5.00%,95.00%,
2017-08-15,Ð·Î¶°ô,20.0,14.0,-6.0,-30.00%,70.00%,
2017-08-16,Ð·Î¶°ô,17.0,14.0,-3.0,-17.65%,82.35%,
2017-08-17,Ð·Î¶°ô,13.0,15.0,2.0,15.38%,84.62%,
2017-08-18,Ð·Î¶°ô,15.0,18.0,3.0,20.00%,80.00%,
2017-08-19,Ð·Î¶°ô,20.0,20.0,0.0,0.00%,100.00%,
2017-08-15,(B)´ó°×²Ë(°ë),68.0,57.0,-11.0,-16.18%,83.82%,
2017-08-16,(B)´ó°×²Ë(°ë),67.0,64.0,-3.0,-4.48%,95.52%,
2017-08-17,(B)´ó°×²Ë(°ë),61.0,60.0,-1.0,-1.64%,98.36%,
2017-08-18,(B)´ó°×²Ë(°ë),67.0,64.0,-3.0,-4.48%,95.52%,
2017-08-19,(B)´ó°×²Ë(°ë),109.0,103.0,-6.0,-5.50%,94.50%,
2017-08-15,°ÄÖÞ·ÊÅ£(ºÍÅ£)(°ë),37.0,31.0,-6.0,-16.22%,83.78%,
2017-08-16,°ÄÖÞ·ÊÅ£(ºÍÅ£)(°ë),35.0,30.0,-5.0,-14.29%,85.71%,
2017-08-17,°ÄÖÞ·ÊÅ£(ºÍÅ£)(°ë),37.0,35.0,-2.0,-5.41%,94.59%,
2017-08-18,°ÄÖÞ·ÊÅ£(ºÍÅ£)(°ë),38.0,35.0,-3.0,-7.89%,92.11%,
2017-08-19,°ÄÖÞ·ÊÅ£(ºÍÅ£)(°ë),51.0,48.0,-3.0,-5.88%,94.12%,
2017-08-15,(B)Î÷Ê½Å£Èâ»¬(°ë),20.0,22.0,2.0,10.00%,90.00%,
2017-08-16,(B)Î÷Ê½Å£Èâ»¬(°ë),19.0,22.0,3.0,15.79%,84.21%,
2017-08-17,(B)Î÷Ê½Å£Èâ»¬(°ë),26.0,24.0,-2.0,-7.69%,92.31%,
2017-08-18,(B)Î÷Ê½Å£Èâ»¬(°ë),26.0,25.0,-1.0,-3.85%,96.15%,
2017-08-19,(B)Î÷Ê½Å£Èâ»¬(°ë),30.0,35.0,5.0,16.67%,83.33%,
2017-08-15,(B)É½Ò©(°ë),76.0,69.0,-7.0,-9.21%,90.79%,
2017-08-16,(B)É½Ò©(°ë),77.0,73.0,-4.0,-5.19%,94.81%,
2017-08-17,(B)É½Ò©(°ë),80.0,77.0,-3.0,-3.75%,96.25%,
2017-08-18,(B)É½Ò©(°ë),80.0,77.0,-3.0,-3.75%,96.25%,
2017-08-19,(B)É½Ò©(°ë),101.0,102.0,1.0,0.99%,99.01%,
2017-08-15,¶³¶¹¸¯,22.0,19.0,-3.0,-13.64%,86.36%,
2017-08-16,¶³¶¹¸¯,25.0,17.0,-8.0,-32.00%,68.00%,
2017-08-17,¶³¶¹¸¯,16.0,22.0,6.0,37.50%,62.50%,
2017-08-18,¶³¶¹¸¯,26.0,18.0,-8.0,-30.77%,69.23%,
2017-08-19,¶³¶¹¸¯,29.0,27.0,-2.0,-6.90%,93.10%,
2017-08-15,(B)¶¹¸¯(°ë),60.0,49.0,-11.0,-18.33%,81.67%,
2017-08-16,(B)¶¹¸¯(°ë),59.0,57.0,-2.0,-3.39%,96.61%,
2017-08-17,(B)¶¹¸¯(°ë),54.0,51.0,-3.0,-5.56%,94.44%,
2017-08-18,(B)¶¹¸¯(°ë),62.0,57.0,-5.0,-8.06%,91.94%,
2017-08-19,(B)¶¹¸¯(°ë),89.0,95.0,6.0,6.74%,93.26%,
2017-08-15,Ýï×Ó¸Ñ,26.0,18.0,-8.0,-30.77%,69.23%,
2017-08-16,Ýï×Ó¸Ñ,21.0,19.0,-2.0,-9.52%,90.48%,
2017-08-17,Ýï×Ó¸Ñ,22.0,21.0,-1.0,-4.55%,95.45%,
2017-08-18,Ýï×Ó¸Ñ,25.0,20.0,-5.0,-20.00%,80.00%,
2017-08-19,Ýï×Ó¸Ñ,30.0,32.0,2.0,6.67%,93.33%,
2017-08-15,½ðÒøÂøÍ·,19.0,21.0,2.0,10.53%,89.47%,
2017-08-16,½ðÒøÂøÍ·,24.0,20.0,-4.0,-16.67%,83.33%,
2017-08-17,½ðÒøÂøÍ·,16.0,20.0,4.0,25.00%,75.00%,
2017-08-18,½ðÒøÂøÍ·,26.0,24.0,-2.0,-7.69%,92.31%,
2017-08-19,½ðÒøÂøÍ·,31.0,31.0,0.0,0.00%,100.00%,
2017-08-15,(B)Ýï×Ó¸Ñ(°ë),87.0,83.0,-4.0,-4.60%,95.40%,
2017-08-16,(B)Ýï×Ó¸Ñ(°ë),91.0,92.0,1.0,1.10%,98.90%,
2017-08-17,(B)Ýï×Ó¸Ñ(°ë),78.0,86.0,8.0,10.26%,89.74%,
2017-08-18,(B)Ýï×Ó¸Ñ(°ë),91.0,91.0,0.0,0.00%,100.00%,
2017-08-19,(B)Ýï×Ó¸Ñ(°ë),142.0,130.0,-12.0,-8.45%,91.55%,
2017-08-15,(B)ÓÍ¶¹Æ¤(°ë),93.0,92.0,-1.0,-1.08%,98.92%,
2017-08-16,(B)ÓÍ¶¹Æ¤(°ë),90.0,106.0,16.0,17.78%,82.22%,
2017-08-17,(B)ÓÍ¶¹Æ¤(°ë),91.0,106.0,15.0,16.48%,83.52%,
2017-08-18,(B)ÓÍ¶¹Æ¤(°ë),111.0,115.0,4.0,3.60%,96.40%,
2017-08-19,(B)ÓÍ¶¹Æ¤(°ë),166.0,161.0,-5.0,-3.01%,96.99%,
2017-08-15,º£´ø,19.0,15.0,-4.0,-21.05%,78.95%,
2017-08-16,º£´ø,20.0,16.0,-4.0,-20.00%,80.00%,
2017-08-17,º£´ø,16.0,18.0,2.0,12.50%,87.50%,
2017-08-18,º£´ø,17.0,19.0,2.0,11.76%,88.24%,
2017-08-19,º£´ø,22.0,21.0,-1.0,-4.55%,95.45%,
2017-08-15,(B)¶¬¹Ï(°ë),84.0,77.0,-7.0,-8.33%,91.67%,
2017-08-16,(B)¶¬¹Ï(°ë),90.0,80.0,-10.0,-11.11%,88.89%,
2017-08-17,(B)¶¬¹Ï(°ë),78.0,83.0,5.0,6.41%,93.59%,
2017-08-18,(B)¶¬¹Ï(°ë),81.0,82.0,1.0,1.23%,98.77%,
2017-08-19,(B)¶¬¹Ï(°ë),137.0,132.0,-5.0,-3.65%,96.35%,
2017-08-15,°×ÂÜ²·,15.0,12.0,-3.0,-20.00%,80.00%,
2017-08-16,°×ÂÜ²·,7.0,12.0,5.0,71.43%,28.57%,
2017-08-17,°×ÂÜ²·,9.0,11.0,2.0,22.22%,77.78%,
2017-08-18,°×ÂÜ²·,10.0,12.0,2.0,20.00%,80.00%,
2017-08-19,°×ÂÜ²·,21.0,16.0,-5.0,-23.81%,76.19%,
2017-08-15,¶¹¸¯Æ¤,23.0,23.0,0.0,0.00%,100.00%,
2017-08-16,¶¹¸¯Æ¤,22.0,21.0,-1.0,-4.55%,95.45%,
2017-08-17,¶¹¸¯Æ¤,19.0,23.0,4.0,21.05%,78.95%,
2017-08-18,¶¹¸¯Æ¤,23.0,21.0,-2.0,-8.70%,91.30%,
2017-08-19,¶¹¸¯Æ¤,34.0,30.0,-4.0,-11.76%,88.24%,
2017-08-15,»ÆÌÇôÙôÎ,22.0,17.0,-5.0,-22.73%,77.27%,
