STAT_DATE,XMMC,CMSL,CMSL_outlier,same_week1_sales_percent
2015-07-17,(B)¶¬¹Ï(°ë),41,41.0,0.11188811188811189
2015-07-18,(B)¶¬¹Ï(°ë),73,68.25,0.16472416472416473
2015-07-19,(B)¶¬¹Ï(°ë),67,67.0,0.21134421134421136
2015-07-20,(B)¶¬¹Ï(°ë),40,40.0,0.14296814296814297
2015-07-21,(B)¶¬¹Ï(°ë),42,42.0,0.12432012432012432
2015-07-22,(B)¶¬¹Ï(°ë),32,36.75,0.11353711790393013
2015-07-23,(B)¶¬¹Ï(°ë),37,37.0,0.14264919941775836
2015-07-24,(B)¶¬¹Ï(°ë),39,39.0,0.13609898107714702
2015-07-25,(B)¶¬¹Ï(°ë),56,56.0,0.20087336244541484
2015-07-26,(B)¶¬¹Ï(°ë),46,53.0,0.15429403202328967
2015-07-27,(B)¶¬¹Ï(°ë),35,35.0,0.11644832605531295
2015-07-28,(B)¶¬¹Ï(°ë),53,46.75,0.13609898107714702
2015-07-29,(B)¶¬¹Ï(°ë),41,41.0,0.13679590343818582
2015-07-30,(B)¶¬¹Ï(°ë),44,44.0,0.1075347476225311
2015-07-31,(B)¶¬¹Ï(°ë),46,46.0,0.11997073884418434
2015-08-01,(B)¶¬¹Ï(°ë),56,56.0,0.19970738844184346
2015-08-02,(B)¶¬¹Ï(°ë),67,67.0,0.1960497439648866
2015-08-03,(B)¶¬¹Ï(°ë),35,40.25,0.11704462326261887
2015-08-04,(B)¶¬¹Ï(°ë),43,43.0,0.12289685442574981
2015-08-05,(B)¶¬¹Ï(°ë),46,46.0,0.12108731466227347
2015-08-06,(B)¶¬¹Ï(°ë),35,40.25,0.12191103789126853
2015-08-07,(B)¶¬¹Ï(°ë),43,43.0,0.128500823723229
2015-08-08,(B)¶¬¹Ï(°ë),66,66.0,0.18451400329489293
2015-08-09,(B)¶¬¹Ï(°ë),66,66.0,0.17462932454695224
2015-08-10,(B)¶¬¹Ï(°ë),42,42.0,0.11532125205930807
2015-08-11,(B)¶¬¹Ï(°ë),43,43.0,0.15403624382207579
2015-08-12,(B)¶¬¹Ï(°ë),40,40.0,0.12157153446997776
2015-08-13,(B)¶¬¹Ï(°ë),37,40.25,0.13046701260192736
2015-08-14,(B)¶¬¹Ï(°ë),51,45.5,0.1363973313565604
2015-08-17,(B)¶¬¹Ï(°ë),44,44.0,0.16604892512972572
2015-08-18,(B)¶¬¹Ï(°ë),49,45.5,0.19866567828020756
2015-08-19,(B)¶¬¹Ï(°ë),47,47.0,0.11934766493699037
2015-08-20,(B)¶¬¹Ï(°ë),60,45.5,0.12750185322461083
2015-08-21,(B)¶¬¹Ï(°ë),42,42.0,0.1328519855595668
2015-08-22,(B)¶¬¹Ï(°ë),59,59.0,0.11624548736462094
2015-08-23,(B)¶¬¹Ï(°ë),52,56.75,0.12418772563176896
2015-08-24,(B)¶¬¹Ï(°ë),42,42.0,0.19061371841155234
2015-08-25,(B)¶¬¹Ï(°ë),42,42.0,0.19061371841155234
2015-08-26,(B)¶¬¹Ï(°ë),39,39.0,0.12129963898916968
2015-08-27,(B)¶¬¹Ï(°ë),34,40.25,0.12418772563176896
2015-08-28,(B)¶¬¹Ï(°ë),43,43.0,0.12997562956945571
2015-08-29,(B)¶¬¹Ï(°ë),67,67.0,0.13078797725426483
2015-08-30,(B)¶¬¹Ï(°ë),64,64.0,0.1478472786352559
2015-08-31,(B)¶¬¹Ï(°ë),38,38.0,0.1429731925264013
2015-09-01,(B)¶¬¹Ï(°ë),41,41.0,0.1478472786352559
2015-09-02,(B)¶¬¹Ï(°ë),74,62.0,0.15272136474411047
2015-09-03,(B)¶¬¹Ï(°ë),81,62.0,0.1478472786352559
2015-09-04,(B)¶¬¹Ï(°ë),62,62.0,0.1308411214953271
2015-09-05,(B)¶¬¹Ï(°ë),70,70.0,0.1838006230529595
2015-09-06,(B)¶¬¹Ï(°ë),50,66.25,0.17679127725856697
2015-09-07,(B)¶¬¹Ï(°ë),35,35.0,0.1308411214953271
2015-09-08,(B)¶¬¹Ï(°ë),34,34.0,0.1308411214953271
2015-09-09,(B)¶¬¹Ï(°ë),35,35.0,0.12149532710280374
2015-09-10,(B)¶¬¹Ï(°ë),62,62.0,0.12538940809968846
2015-09-11,(B)¶¬¹Ï(°ë),69,62.0,0.11405835543766578
2015-09-12,(B)¶¬¹Ï(°ë),87,76.5,0.17771883289124668
2015-09-13,(B)¶¬¹Ï(°ë),75,75.0,0.16976127320954906
2015-09-14,(B)¶¬¹Ï(°ë),46,46.0,0.10079575596816977
2015-09-15,(B)¶¬¹Ï(°ë),39,39.0,0.10875331564986737
2015-09-16,(B)¶¬¹Ï(°ë),42,42.0,0.16445623342175067
2015-09-17,(B)¶¬¹Ï(°ë),52,52.0,0.16445623342175067
2015-09-18,(B)¶¬¹Ï(°ë),62,62.0,0.1702127659574468
2015-09-19,(B)¶¬¹Ï(°ë),81,76.5,0.19217570350034316
2015-09-20,(B)¶¬¹Ï(°ë),73,73.0,0.1818805765271105
2015-09-21,(B)¶¬¹Ï(°ë),41,41.0,0.09608785175017158
2015-09-22,(B)¶¬¹Ï(°ë),57,57.0,0.09334248455730954
2015-09-23,(B)¶¬¹Ï(°ë),45,45.0,0.09608785175017158
2015-09-24,(B)¶¬¹Ï(°ë),40,40.0,0.1702127659574468
2015-09-25,(B)¶¬¹Ï(°ë),42,42.0,0.15796178343949044
2015-09-26,(B)¶¬¹Ï(°ë),84,84.0,0.19490445859872613
2015-09-27,(B)¶¬¹Ï(°ë),106,83.25,0.1910828025477707
2015-09-28,(B)¶¬¹Ï(°ë),36,42.0,0.11719745222929936
2015-09-29,(B)¶¬¹Ï(°ë),46,46.0,0.09936305732484077
2015-09-30,(B)¶¬¹Ï(°ë),55,55.0,0.1070063694267516
2015-10-01,(B)¶¬¹Ï(°ë),79,54.25,0.13248407643312102
2015-10-02,(B)¶¬¹Ï(°ë),66,54.25,0.15716096324461343
2015-10-03,(B)¶¬¹Ï(°ë),65,72.75,0.19391634980988592
2015-10-04,(B)¶¬¹Ï(°ë),75,75.0,0.1850443599493029
2015-10-05,(B)¶¬¹Ï(°ë),66,54.25,0.10392902408111533
2015-10-06,(B)¶¬¹Ï(°ë),60,54.25,0.1444866920152091
2015-10-07,(B)¶¬¹Ï(°ë),50,64.75,0.11406844106463879
2015-10-08,(B)¶¬¹Ï(°ë),42,42.0,0.10139416983523447
2015-10-09,(B)¶¬¹Ï(°ë),49,49.0,0.1033210332103321
2015-10-10,(B)¶¬¹Ï(°ë),66,72.75,0.2066420664206642
2015-10-11,(B)¶¬¹Ï(°ë),84,84.0,0.2047970479704797
2015-10-12,(B)¶¬¹Ï(°ë),24,42.0,0.1033210332103321
2015-10-13,(B)¶¬¹Ï(°ë),47,47.0,0.11316113161131611
2015-10-14,(B)¶¬¹Ï(°ë),54,54.0,0.13530135301353013
2015-10-15,(B)¶¬¹Ï(°ë),44,44.0,0.13345633456334563
2015-10-16,(B)¶¬¹Ï(°ë),51,51.0,0.13001797483523067
2015-10-17,(B)¶¬¹Ï(°ë),80,80.0,0.1743559017375674
2015-10-18,(B)¶¬¹Ï(°ë),78,78.0,0.17974835230677053
2015-10-19,(B)¶¬¹Ï(°ë),34,42.0,0.13001797483523067
2015-10-20,(B)¶¬¹Ï(°ë),41,41.0,0.13001797483523067
2015-10-21,(B)¶¬¹Ï(°ë),51,51.0,0.15518274415817854
2015-10-22,(B)¶¬¹Ï(°ë),54,54.0,0.1006590772917915
