STAT_DATE,XMMC,CMSL,CMSL_outlier,day_of_week,holiday
2015-07-23,(B)∂¨πœ(∞Î),37,37.0,3,0.0
2015-07-24,(B)∂¨πœ(∞Î),39,39.0,4,0.0
2015-07-25,(B)∂¨πœ(∞Î),56,56.0,5,1.0
2015-07-26,(B)∂¨πœ(∞Î),46,53.0,6,1.0
2015-07-27,(B)∂¨πœ(∞Î),35,35.0,0,0.0
2015-07-28,(B)∂¨πœ(∞Î),53,46.75,1,0.0
2015-07-29,(B)∂¨πœ(∞Î),41,41.0,2,0.0
2015-07-30,(B)∂¨πœ(∞Î),44,44.0,3,0.0
2015-07-31,(B)∂¨πœ(∞Î),46,46.0,4,0.0
2015-08-01,(B)∂¨πœ(∞Î),56,56.0,5,1.0
2015-08-02,(B)∂¨πœ(∞Î),67,67.0,6,1.0
2015-08-03,(B)∂¨πœ(∞Î),35,40.25,0,0.0
2015-08-04,(B)∂¨πœ(∞Î),43,43.0,1,0.0
2015-08-05,(B)∂¨πœ(∞Î),46,46.0,2,0.0
2015-08-06,(B)∂¨πœ(∞Î),35,40.25,3,0.0
2015-08-07,(B)∂¨πœ(∞Î),43,43.0,4,0.0
2015-08-08,(B)∂¨πœ(∞Î),66,66.0,5,1.0
2015-08-09,(B)∂¨πœ(∞Î),66,66.0,6,1.0
2015-08-10,(B)∂¨πœ(∞Î),42,42.0,0,0.0
2015-08-11,(B)∂¨πœ(∞Î),43,43.0,1,0.0
2015-08-12,(B)∂¨πœ(∞Î),40,40.0,2,0.0
2015-08-13,(B)∂¨πœ(∞Î),37,40.25,3,0.0
2015-08-14,(B)∂¨πœ(∞Î),51,45.5,4,0.0
2015-08-17,(B)∂¨πœ(∞Î),44,44.0,0,0.0
2015-08-18,(B)∂¨πœ(∞Î),49,45.5,1,0.0
2015-08-19,(B)∂¨πœ(∞Î),47,47.0,2,0.0
2015-08-20,(B)∂¨πœ(∞Î),60,45.5,3,0.0
2015-08-21,(B)∂¨πœ(∞Î),42,42.0,4,0.0
2015-08-22,(B)∂¨πœ(∞Î),59,59.0,5,1.0
2015-08-23,(B)∂¨πœ(∞Î),52,56.75,6,1.0
2015-08-24,(B)∂¨πœ(∞Î),42,42.0,0,0.0
2015-08-25,(B)∂¨πœ(∞Î),42,42.0,1,0.0
2015-08-26,(B)∂¨πœ(∞Î),39,39.0,2,0.0
2015-08-27,(B)∂¨πœ(∞Î),34,40.25,3,0.0
2015-08-28,(B)∂¨πœ(∞Î),43,43.0,4,0.0
2015-08-29,(B)∂¨πœ(∞Î),67,67.0,5,1.0
2015-08-30,(B)∂¨πœ(∞Î),64,64.0,6,1.0
2015-08-31,(B)∂¨πœ(∞Î),38,38.0,0,0.0
2015-09-01,(B)∂¨πœ(∞Î),41,41.0,1,0.0
2015-09-02,(B)∂¨πœ(∞Î),74,62.0,2,0.0
2015-09-03,(B)∂¨πœ(∞Î),81,62.0,3,2.0
2015-09-04,(B)∂¨πœ(∞Î),62,62.0,4,2.0
2015-09-05,(B)∂¨πœ(∞Î),70,70.0,5,2.0
2015-09-06,(B)∂¨πœ(∞Î),50,66.25,6,0.0
2015-09-07,(B)∂¨πœ(∞Î),35,35.0,0,0.0
2015-09-08,(B)∂¨πœ(∞Î),34,34.0,1,0.0
2015-09-09,(B)∂¨πœ(∞Î),35,35.0,2,0.0
2015-09-10,(B)∂¨πœ(∞Î),62,62.0,3,0.0
2015-09-11,(B)∂¨πœ(∞Î),69,62.0,4,0.0
2015-09-12,(B)∂¨πœ(∞Î),87,76.5,5,1.0
2015-09-13,(B)∂¨πœ(∞Î),75,75.0,6,1.0
2015-09-14,(B)∂¨πœ(∞Î),46,46.0,0,0.0
2015-09-15,(B)∂¨πœ(∞Î),39,39.0,1,0.0
2015-09-16,(B)∂¨πœ(∞Î),42,42.0,2,0.0
2015-09-17,(B)∂¨πœ(∞Î),52,52.0,3,0.0
2015-09-18,(B)∂¨πœ(∞Î),62,62.0,4,0.0
2015-09-19,(B)∂¨πœ(∞Î),81,76.5,5,1.0
2015-09-20,(B)∂¨πœ(∞Î),73,73.0,6,1.0
2015-09-21,(B)∂¨πœ(∞Î),41,41.0,0,0.0
2015-09-22,(B)∂¨πœ(∞Î),57,57.0,1,0.0
2015-09-23,(B)∂¨πœ(∞Î),45,45.0,2,0.0
2015-09-24,(B)∂¨πœ(∞Î),40,40.0,3,0.0
2015-09-25,(B)∂¨πœ(∞Î),42,42.0,4,0.0
2015-09-26,(B)∂¨πœ(∞Î),84,84.0,5,2.0
2015-09-27,(B)∂¨πœ(∞Î),106,83.25,6,2.0
2015-09-28,(B)∂¨πœ(∞Î),36,42.0,0,0.0
2015-09-29,(B)∂¨πœ(∞Î),46,46.0,1,0.0
2015-09-30,(B)∂¨πœ(∞Î),55,55.0,2,0.0
2015-10-01,(B)∂¨πœ(∞Î),79,54.25,3,2.0
2015-10-02,(B)∂¨πœ(∞Î),66,54.25,4,2.0
2015-10-03,(B)∂¨πœ(∞Î),65,72.75,5,2.0
2015-10-04,(B)∂¨πœ(∞Î),75,75.0,6,2.0
2015-10-05,(B)∂¨πœ(∞Î),66,54.25,0,2.0
2015-10-06,(B)∂¨πœ(∞Î),60,54.25,1,2.0
2015-10-07,(B)∂¨πœ(∞Î),50,64.75,2,2.0
2015-10-08,(B)∂¨πœ(∞Î),42,42.0,3,0.0
2015-10-09,(B)∂¨πœ(∞Î),49,49.0,4,0.0
2015-10-10,(B)∂¨πœ(∞Î),66,72.75,5,0.0
2015-10-11,(B)∂¨πœ(∞Î),84,84.0,6,1.0
2015-10-12,(B)∂¨πœ(∞Î),24,42.0,0,0.0
2015-10-13,(B)∂¨πœ(∞Î),47,47.0,1,0.0
2015-10-14,(B)∂¨πœ(∞Î),54,54.0,2,0.0
2015-10-15,(B)∂¨πœ(∞Î),44,44.0,3,0.0
2015-10-16,(B)∂¨πœ(∞Î),51,51.0,4,0.0
2015-10-17,(B)∂¨πœ(∞Î),80,80.0,5,1.0
2015-10-18,(B)∂¨πœ(∞Î),78,78.0,6,1.0
2015-10-19,(B)∂¨πœ(∞Î),34,42.0,0,0.0
2015-10-20,(B)∂¨πœ(∞Î),41,41.0,1,0.0
2015-10-21,(B)∂¨πœ(∞Î),51,51.0,2,0.0
2015-10-22,(B)∂¨πœ(∞Î),54,54.0,3,0.0
2015-10-23,(B)∂¨πœ(∞Î),58,58.0,4,0.0
2015-10-24,(B)∂¨πœ(∞Î),75,75.0,5,1.0
2015-10-25,(B)∂¨πœ(∞Î),76,76.0,6,1.0
2015-10-26,(B)∂¨πœ(∞Î),46,46.0,0,0.0
2015-10-27,(B)∂¨πœ(∞Î),53,53.0,1,0.0
2015-10-28,(B)∂¨πœ(∞Î),45,45.0,2,0.0
2015-10-29,(B)∂¨πœ(∞Î),49,49.0,3,0.0
2015-10-30,(B)∂¨πœ(∞Î),53,53.0,4,0.0
2015-10-31,(B)∂¨πœ(∞Î),84,81.0,5,1.0
2015-11-01,(B)∂¨πœ(∞Î),63,75.75,6,1.0
2015-11-02,(B)∂¨πœ(∞Î),37,45.0,0,0.0
2015-11-03,(B)∂¨πœ(∞Î),39,45.0,1,0.0
2015-11-04,(B)∂¨πœ(∞Î),45,45.0,2,0.0
2015-11-05,(B)∂¨πœ(∞Î),42,42.0,3,0.0
2015-11-06,(B)∂¨πœ(∞Î),79,58.0,4,0.0
2015-11-07,(B)∂¨πœ(∞Î),89,81.0,5,1.0
2015-11-08,(B)∂¨πœ(∞Î),76,76.0,6,1.0
2015-11-09,(B)∂¨πœ(∞Î),48,48.0,0,0.0
2015-11-10,(B)∂¨πœ(∞Î),58,58.0,1,0.0
2015-11-11,(B)∂¨πœ(∞Î),59,59.0,2,0.0
2015-11-12,(B)∂¨πœ(∞Î),49,49.0,3,0.0
2015-11-13,(B)∂¨πœ(∞Î),63,58.0,4,0.0
2015-11-14,(B)∂¨πœ(∞Î),80,80.0,5,1.0
2015-11-15,(B)∂¨πœ(∞Î),79,79.0,6,1.0
2015-11-16,(B)∂¨πœ(∞Î),55,55.0,0,0.0
2015-11-17,(B)∂¨πœ(∞Î),33,45.0,1,0.0
2015-11-18,(B)∂¨πœ(∞Î),57,57.0,2,0.0
2015-11-19,(B)∂¨πœ(∞Î),62,58.0,3,0.0
2015-11-20,(B)∂¨πœ(∞Î),59,59.0,4,0.0
2015-11-21,(B)∂¨πœ(∞Î),86,86.0,5,1.0
2015-11-22,(B)∂¨πœ(∞Î),97,88.75,6,1.0
2015-11-23,(B)∂¨πœ(∞Î),41,41.0,0,0.0
2015-11-24,(B)∂¨πœ(∞Î),54,54.0,1,0.0
2015-11-25,(B)∂¨πœ(∞Î),58,58.0,2,0.0
2015-11-26,(B)∂¨πœ(∞Î),44,44.0,3,0.0
2015-11-27,(B)∂¨πœ(∞Î),70,60.0,4,0.0
2015-11-28,(B)∂¨πœ(∞Î),70,70.0,5,1.0
2015-11-29,(B)∂¨πœ(∞Î),74,74.0,6,1.0
2015-11-30,(B)∂¨πœ(∞Î),48,48.0,0,0.0
2015-12-01,(B)∂¨πœ(∞Î),41,41.0,1,0.0
2015-12-02,(B)∂¨πœ(∞Î),55,55.0,2,0.0
2015-12-03,(B)∂¨πœ(∞Î),50,50.0,3,0.0
2015-12-04,(B)∂¨πœ(∞Î),68,60.0,4,0.0
2015-12-05,(B)∂¨πœ(∞Î),79,79.0,5,1.0
2015-12-06,(B)∂¨πœ(∞Î),68,68.0,6,1.0
2015-12-07,(B)∂¨πœ(∞Î),38,43.25,0,0.0
2015-12-08,(B)∂¨πœ(∞Î),39,39.0,1,0.0
2015-12-09,(B)∂¨πœ(∞Î),37,43.25,2,0.0
2015-12-10,(B)∂¨πœ(∞Î),46,46.0,3,0.0
2015-12-11,(B)∂¨πœ(∞Î),63,63.0,4,0.0
2015-12-12,(B)∂¨πœ(∞Î),73,73.0,5,1.0
2015-12-13,(B)∂¨πœ(∞Î),174,88.75,6,1.0
2015-12-14,(B)∂¨πœ(∞Î),76,60.0,0,0.0
2015-12-15,(B)∂¨πœ(∞Î),96,60.0,1,0.0
2015-12-16,(B)∂¨πœ(∞Î),49,49.0,2,0.0
2015-12-17,(B)∂¨πœ(∞Î),49,49.0,3,0.0
2015-12-18,(B)∂¨πœ(∞Î),67,61.5,4,0.0
2015-12-19,(B)∂¨πœ(∞Î),64,64.0,5,1.0
2015-12-20,(B)∂¨πœ(∞Î),71,71.0,6,1.0
